datetime,measured_surface,measured_surface_total_mean
2023-07-04 14:35:25,-4348088.658222728,-375.69965333043103
2023-07-04 14:35:46,-4350727.581875794,-375.902775510204
2023-07-04 14:36:07,-4358624.978306349,-375.80422228514175
2023-07-04 14:36:28,-4355784.96081865,-375.8431108599252
2023-07-04 14:36:49,-4348354.092520635,-375.7820163891667
2023-07-04 14:37:10,-4358487.313719047,-376.0506032210196
2023-07-04 14:37:31,-4344602.083002381,-375.9494112292012
2023-07-04 14:37:51,-4356709.833954763,-375.9253760821334
2023-07-04 14:38:12,-4346815.286621429,-375.7262925492584
2023-07-04 14:38:32,-4347920.001494842,-375.7649579235924
2023-07-04 14:38:53,-4340684.943941666,-375.8843552534101
2023-07-04 14:39:13,-4350288.507661905,-375.9016532106892
2023-07-04 14:39:34,-4364933.836467857,-375.8061008282476
2023-07-04 14:39:54,-4366236.961389682,-375.71306698919113
2023-07-04 14:40:15,-4353617.209303968,-375.5270387970317
2023-07-04 14:40:36,-4349797.729903968,-375.6241472491207
2023-07-04 14:40:56,-4361010.441031746,-375.551931461602
2023-07-04 14:41:18,-4352983.285162121,-375.5998975932454
2023-07-04 14:41:38,-4350907.266083334,-375.6720334186885
2023-07-04 14:41:59,-4356110.481104761,-375.9710776627219
2023-07-04 14:42:19,-4357008.531708334,-376.03220787669744
2023-07-04 14:42:39,-4354182.959184127,-375.9822266003404
2023-07-04 14:43:00,-4358162.822651191,-375.77159965164384
2023-07-04 14:43:21,-4346903.221593253,-375.7522914109094
2023-07-04 14:43:42,-4345613.693763889,-375.4281308143323
2023-07-04 14:44:03,-4364077.826159524,-375.8270312948857
2023-07-04 14:44:23,-4353934.662107143,-375.75769718616607
2023-07-04 14:44:44,-4358527.131620238,-375.6985603820489
2023-07-04 14:45:05,-4346884.446805555,-375.8170667044267
2023-07-04 14:45:26,-4352354.79432857,-375.8699229496058
2023-07-04 14:45:46,-4363254.710578571,-375.88395960522297
2023-07-04 14:46:07,-4351781.51572381,-375.9302643102773
2023-07-04 14:46:28,-4368229.601777381,-375.8460149416274
2023-07-04 14:46:49,-4362058.074352778,-375.7430722781336
2023-07-04 14:47:10,-4354289.621138095,-375.7382868118916
2023-07-04 14:47:30,-4354025.15459127,-375.7015980584215
2023-07-04 14:47:51,-4362860.698342063,-375.8730761485485
2023-07-04 14:48:11,-4364249.618101191,-375.9566070196884
2023-07-04 14:48:32,-4365491.0276234485,-375.92707784796346
2023-07-04 14:48:53,-4357169.550099207,-375.8003935776219
2023-07-04 14:49:14,-4363972.281083333,-375.85542618881726
2023-07-04 14:49:34,-4354272.031093651,-375.8480120061122
2023-07-04 14:49:55,-4352887.971473809,-375.5227044107392
2023-07-04 14:50:15,-4351337.261679364,-375.4488787403633
2023-07-04 14:50:36,-4355565.433939682,-375.6548448298401
2023-07-04 14:50:56,-4337061.33610119,-375.5115152665096
2023-07-04 14:51:17,-4344473.084432936,-375.5028241595541
2023-07-04 14:51:37,-4352363.654878572,-375.6273602806589
2023-07-04 14:51:58,-4352323.145479798,-375.848452951949
2023-07-04 14:52:18,-4362668.656366667,-375.9532945527323
2023-07-04 14:52:39,-4364852.001202381,-375.8055417972832
2023-07-04 14:53:00,-4365893.590355556,-375.5990434687826
2023-07-04 14:53:21,-4361034.770532142,-375.5342842714727
2023-07-04 14:53:41,-4361570.72944881,-375.5047978880583
2023-07-04 14:54:02,-4361441.518323809,-375.84868282246094
2023-07-04 14:54:23,-4365418.82825,-376.0418161481999
2023-07-04 14:54:44,-4354529.356186507,-375.97348411345655
2023-07-04 14:55:04,-4361268.605307143,-375.92954531195534
2023-07-04 14:55:25,-4361268.66288254,-376.1263401413983
2023-07-04 14:55:46,-4352362.351558838,-375.8805531534673
2023-07-04 14:56:07,-4357093.811061508,-375.9975688826767
2023-07-04 14:56:27,-4361367.36310238,-375.9216554680665
2023-07-04 14:56:47,-4368390.528013095,-375.9131039850017
2023-07-04 14:57:07,-4356037.930020238,-375.735765454704
2023-07-04 14:57:27,-4346621.876187699,-375.40462961996695
2023-07-04 14:57:48,-4351250.828883333,-376.0161538830089
2023-07-04 14:58:09,-4348926.53185,-375.7741122952609
2023-07-04 14:58:29,-4354004.913769444,-375.7765359545653
2023-07-04 14:58:50,-4350670.687038889,-376.0556355254534
2023-07-04 14:59:10,-4361838.995127381,-375.7914031534475
2023-07-04 14:59:31,-4354175.360176191,-375.62626000260656
2023-07-04 14:59:52,-4360195.827682143,-375.7509421066388
2023-07-04 15:00:13,-4376266.545932143,-376.0113809897878
2023-07-04 15:00:34,-4361413.71149881,-375.8791817785337
2023-07-04 15:00:54,-4366529.025975,-375.9142807078721
2023-07-04 15:01:15,-4351425.746562699,-375.8933760672591
2023-07-04 15:01:36,-4358762.415685714,-375.7640731802937
2023-07-04 15:01:56,-4361740.434788095,-375.7804071785947
2023-07-04 15:02:17,-4354920.349537302,-375.917391761116
2023-07-04 15:02:37,-4359582.59888254,-375.7954679166485
2023-07-04 15:02:58,-4343098.936676623,-375.8910663058187
2023-07-04 15:03:18,-4354751.722757936,-375.738443397872
2023-07-04 15:03:39,-4359476.181723809,-375.9477521703093
2023-07-04 15:04:00,-4350649.3467107145,-375.7875653651735
2023-07-04 15:04:20,-4359291.559334127,-375.9562003841788
2023-07-04 15:04:41,-4357189.989410714,-376.0111890555968
2023-07-04 15:05:02,-4347972.447055953,-375.7697161997032
2023-07-04 15:05:22,-4357928.842427777,-375.7118518017034
2023-07-04 15:05:43,-4345375.333580952,-375.64894018398223
2023-07-04 15:06:04,-4339207.02805238,-375.4490204419649
2023-07-04 15:06:24,-4350378.417858731,-375.526271328976
2023-07-04 15:06:45,-4342625.987953175,-375.4628919177427
2023-07-04 15:07:06,-4356616.173634127,-375.4920581152743
2023-07-04 15:07:27,-4350618.133053896,-375.4746579015994
2023-07-04 15:07:48,-4348288.588264286,-375.5276871406168
2023-07-04 15:08:08,-4352255.2664809525,-375.6531783445035
2023-07-04 15:08:28,-4355493.950103571,-375.840208997474
2023-07-04 15:08:49,-4354052.836375,-375.76521642310365
2023-07-04 15:09:10,-4348128.684593506,-375.4808800782948
2023-07-04 15:09:30,-4361651.926173809,-375.82934492235216
2023-07-04 15:09:51,-4358697.065842858,-375.7353817176204
2023-07-04 15:10:11,-4354321.689545238,-375.6502267178236
2023-07-04 15:10:32,-4346163.755224603,-375.5677237145718
2023-07-04 15:10:52,-4344822.698263095,-375.5916655184442
2023-07-04 15:11:13,-4351743.176520634,-375.6166228586374
2023-07-04 15:11:34,-4350044.481334416,-375.5069344913368
2023-07-04 15:11:56,-4357722.516744047,-375.8182796454768
2023-07-04 15:12:17,-4363549.074528571,-375.6783715470216
2023-07-04 15:12:38,-4355319.218241667,-375.5911055478019
2023-07-04 15:12:58,-4344533.892863096,-375.6723666128257
2023-07-04 15:13:19,-4347293.1128295455,-375.8331891891893
2023-07-04 15:13:39,-4355366.464726191,-375.9344791138688
2023-07-04 15:14:00,-4339965.080149783,-375.8832741236708
2023-07-04 15:14:20,-4346082.974626588,-375.95861317160745
2023-07-04 15:14:41,-4322742.635553174,-375.8420980280705
2023-07-04 15:15:01,-4331848.246623015,-375.9946060553104
2023-07-04 15:15:22,-4339230.132835714,-376.15004750208345
2023-07-04 15:15:43,-4350115.38569246,-375.644311801676
2023-07-04 15:16:03,-4333119.237043651,-375.7559791284604
2023-07-04 15:16:23,-4336697.797468651,-375.905175420905
2023-07-04 15:16:44,-4330068.536863095,-375.8545164902458
