                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.81726,                0.46283,                 1.0093,                      1,                0.93217,                0.95957,                0.70476,                  1.044,                0.49076,                 1.1352,               0.004357,               0.004357,               0.004357
                     59,                0.80869,                0.47379,                 1.0167,                0.99969,                 0.9322,                0.95044,                0.67537,                  1.108,                0.51116,                 1.1758,               0.004258,               0.004258,               0.004258
                     60,                0.78882,                0.44776,                0.98557,                0.99821,                 0.9322,                0.95015,                0.69479,                  1.042,                0.46424,                 1.1203,               0.004159,               0.004159,               0.004159
                     61,                0.78166,                0.44428,                0.99515,                0.98079,                 0.9322,                0.94739,                0.71267,                0.98706,                0.47233,                 1.0981,                0.00406,                0.00406,                0.00406
                     62,                0.76508,                0.43369,                 1.0023,                0.99908,                 0.9322,                 0.9523,                0.68142,                 1.0856,                0.46984,                 1.1419,               0.003961,               0.003961,               0.003961
                     63,                0.77436,                0.45282,                0.99632,                0.98029,                0.94915,                0.95399,                0.65927,                 1.1005,                0.48182,                 1.1481,               0.003862,               0.003862,               0.003862
                     64,                0.75261,                0.43556,                0.98467,                0.99912,                 0.9322,                0.95145,                0.66001,                 1.1518,                0.52621,                 1.1933,               0.003763,               0.003763,               0.003763
                     65,                 0.7572,                0.43944,                0.99008,                      1,                 0.9321,                0.95369,                0.67336,                 1.1209,                0.54841,                 1.1931,               0.003664,               0.003664,               0.003664
                     66,                0.73609,                0.43351,                0.97963,                0.99852,                 0.9322,                0.94987,                0.66467,                  1.087,                0.50239,                 1.1667,               0.003565,               0.003565,               0.003565
                     67,                0.74144,                0.43474,                0.98017,                      1,                0.92902,                0.95064,                0.71158,                0.98848,                0.45243,                 1.1022,               0.003466,               0.003466,               0.003466
                     68,                0.72092,                0.42043,                0.96501,                0.99936,                 0.9322,                0.95158,                0.69106,                 1.0683,                0.51222,                 1.1401,               0.003367,               0.003367,               0.003367
                     69,                0.71162,                0.41577,                 0.9737,                0.99781,                 0.9322,                0.95108,                0.72021,                0.94013,                0.47161,                 1.0841,               0.003268,               0.003268,               0.003268
                     70,                0.70466,                0.40303,                0.96291,                0.99747,                 0.9322,                0.95333,                0.69248,                 1.0367,                0.52619,                 1.1401,               0.003169,               0.003169,               0.003169
                     71,                0.70839,                0.42688,                0.97238,                0.99765,                 0.9322,                0.94993,                0.69171,                 1.0407,                0.50938,                 1.1223,                0.00307,                0.00307,                0.00307
                     72,                0.70115,                 0.4123,                0.97089,                0.99664,                 0.9322,                 0.9454,                0.68082,                 1.0609,                0.54133,                 1.1289,               0.002971,               0.002971,               0.002971
                     73,                0.68888,                0.41044,                0.96926,                0.98958,                 0.9322,                0.94829,                0.72633,                0.97373,                0.50241,                 1.0918,               0.002872,               0.002872,               0.002872
                     74,                0.65848,                0.37967,                0.94406,                0.99733,                 0.9322,                0.95097,                0.71496,                 1.0126,                0.50954,                 1.1193,               0.002773,               0.002773,               0.002773
                     75,                0.70243,                0.41003,                0.96867,                0.99839,                 0.9322,                0.95517,                0.70055,                 1.0161,                0.51211,                 1.1244,               0.002674,               0.002674,               0.002674
                     76,                0.67001,                0.40118,                0.96104,                0.99882,                 0.9322,                0.95908,                0.70583,                 1.0351,                0.47341,                 1.1298,               0.002575,               0.002575,               0.002575
                     77,                0.67818,                0.40727,                0.96319,                0.99896,                 0.9322,                0.95621,                0.72629,                0.97139,                0.44941,                 1.1069,               0.002476,               0.002476,               0.002476
                     78,                0.67456,                0.39113,                0.95368,                0.99854,                 0.9322,                0.95312,                 0.7162,                0.98236,                0.46787,                  1.123,               0.002377,               0.002377,               0.002377
                     79,                0.65451,                0.38342,                0.94844,                0.99788,                 0.9322,                 0.9502,                0.70994,                 1.0016,                0.51266,                 1.1382,               0.002278,               0.002278,               0.002278
                     80,                0.62321,                0.36227,                0.93659,                0.99793,                 0.9322,                0.95381,                0.69015,                 1.0639,                0.50026,                 1.1525,               0.002179,               0.002179,               0.002179
                     81,                0.65057,                0.37816,                0.95275,                      1,                0.93103,                0.95056,                0.69738,                 1.0266,                0.49754,                 1.1289,                0.00208,                0.00208,                0.00208
                     82,                 0.6242,                0.37193,                0.93238,                      1,                 0.9294,                0.94732,                0.72162,                0.97005,                0.49433,                 1.1149,               0.001981,               0.001981,               0.001981
                     83,                0.62734,                 0.3578,                 0.9352,                0.97977,                 0.9322,                0.94672,                0.72133,                0.95763,                0.46116,                 1.1165,               0.001882,               0.001882,               0.001882
                     84,                0.63749,                 0.3768,                0.94347,                0.97771,                 0.9322,                0.94906,                0.71407,                0.98444,                0.45502,                 1.1214,               0.001783,               0.001783,               0.001783
                     85,                 0.6199,                0.36596,                0.94546,                      1,                0.93174,                0.95048,                0.72332,                0.97801,                0.45056,                 1.1193,               0.001684,               0.001684,               0.001684
                     86,                 0.6031,                0.35682,                0.91118,                0.99852,                 0.9322,                0.95139,                0.72493,                0.99052,                0.45268,                 1.1233,               0.001585,               0.001585,               0.001585
                     87,                0.58934,                0.34879,                0.91696,                0.99857,                 0.9322,                0.95301,                0.71139,                 1.0087,                0.46001,                 1.1384,               0.001486,               0.001486,               0.001486
                     88,                0.58275,                0.35059,                0.92606,                0.99875,                 0.9322,                0.95833,                0.71209,                 1.0295,                0.47557,                 1.1469,               0.001387,               0.001387,               0.001387
                     89,                0.59834,                0.35191,                0.92905,                0.99884,                 0.9322,                 0.9624,                0.71274,                 1.0425,                0.51496,                 1.1548,               0.001288,               0.001288,               0.001288
                     90,                0.51297,                0.26814,                0.89552,                0.98242,                 0.9474,                0.95932,                 0.7352,                0.99541,                0.45322,                 1.1502,               0.001189,               0.001189,               0.001189
                     91,                0.48839,                0.25295,                0.88771,                0.98117,                0.94915,                0.95075,                0.70566,                0.99813,                0.46089,                 1.1458,                0.00109,                0.00109,                0.00109
                     92,                0.47788,                0.25333,                0.87379,                      1,                0.94782,                0.95287,                0.71962,                0.99125,                0.44606,                 1.1486,               0.000991,               0.000991,               0.000991
                     93,                0.45272,                0.24016,                 0.8595,                0.99593,                0.94915,                0.95244,                0.71582,                0.97294,                0.43757,                  1.134,               0.000892,               0.000892,               0.000892
                     94,                 0.4493,                0.24117,                0.86616,                0.99749,                0.94915,                0.95241,                0.71495,                0.97862,                0.44573,                 1.1404,               0.000793,               0.000793,               0.000793
                     95,                0.45393,                0.24283,                0.86409,                0.99728,                0.94915,                0.95343,                0.71408,                 1.0034,                0.45966,                 1.1484,               0.000694,               0.000694,               0.000694
                     96,                0.42702,                0.23704,                0.85252,                      1,                0.94812,                0.95408,                0.71859,                0.99376,                0.46367,                 1.1453,               0.000595,               0.000595,               0.000595
                     97,                0.42107,                0.23536,                0.84742,                0.98037,                0.94915,                0.95443,                0.72579,                 1.0025,                 0.4624,                 1.1486,               0.000496,               0.000496,               0.000496
                     98,                0.42094,                 0.2351,                0.86178,                0.98031,                0.94915,                0.95472,                0.73069,                 0.9958,                0.45648,                 1.1423,               0.000397,               0.000397,               0.000397
                     99,                 0.4126,                0.22811,                0.85249,                      1,                0.93188,                0.95496,                0.72562,                 1.0124,                0.45838,                  1.145,               0.000298,               0.000298,               0.000298
