datetime,measured_surface,measured_surface_total_mean
2023-07-04 14:39:54,-2925525.5041107144,-374.17494194926223
2023-07-04 14:40:15,-2930728.3524678573,-373.8734536256324
2023-07-04 14:40:36,-2921626.1710916664,-374.1969604024668
2023-07-04 14:40:56,-2919556.6643333333,-373.7822148292682
2023-07-04 14:41:18,-2917845.464052381,-374.0499419835359
2023-07-04 14:41:38,-2930744.6050833333,-373.4817867307817
2023-07-04 14:41:59,-2933975.54335,-373.9228456020164
2023-07-04 14:42:19,-2925820.655509524,-374.1716141371067
2023-07-04 14:42:39,-2928398.082833333,-373.88482889979343
2023-07-04 14:43:00,-2917015.1456833333,-373.62450084066217
2023-07-04 14:43:21,-2912708.0642654765,-373.572686774942
2023-07-04 14:43:42,-2932635.6087,-373.9676888441296
2023-07-04 14:44:03,-2927346.954847619,-373.80801530612246
2023-07-04 14:44:23,-2923353.6429666667,-373.68440472797926
2023-07-04 14:44:44,-2930478.137078572,-373.9643433354797
2023-07-04 14:45:05,-2924099.8951166663,-374.1632430268595
2023-07-04 14:45:26,-2929241.4823011905,-373.99810453319634
2023-07-04 14:45:46,-2922959.1156738093,-373.8869702676556
2023-07-04 14:46:07,-2928990.6191214286,-373.86672477836015
2023-07-04 14:46:28,-2925083.948259524,-373.5344331832797
2023-07-04 14:46:49,-2924138.3810976194,-373.78804672051695
2023-07-04 14:47:10,-2930808.887416667,-374.05538826725314
2023-07-04 14:47:30,-2926237.268328571,-374.1320904930712
2023-07-04 14:47:51,-2926295.572510714,-373.70831781752906
2023-07-04 14:48:11,-2923023.230816667,-373.72114340985297
2023-07-04 14:48:32,-2929806.6971333334,-373.9915218151217
2023-07-04 14:48:53,-2919991.418629762,-374.0221447043535
2023-07-04 14:49:14,-2925201.143314285,-373.9150384665199
2023-07-04 14:49:34,-2919545.2711571427,-373.9546429771288
2023-07-04 14:49:55,-2926145.9460357144,-373.99771702762285
2023-07-04 14:50:15,-2923452.151405556,-373.4109834608898
2023-07-04 14:50:36,-2925966.175907143,-373.5789160325036
2023-07-04 14:50:56,-2927587.0138214286,-373.4551374943465
2023-07-04 14:51:17,-2928077.472195238,-374.08907447428015
2023-07-04 14:51:37,-2934638.941002381,-374.8049055782843
2023-07-04 14:51:58,-2920106.325447619,-373.6720057612636
2023-07-04 14:52:18,-2925082.7276809523,-373.616866183043
2023-07-04 14:52:39,-2923257.299557143,-373.9818994880436
2023-07-04 14:53:00,-2931604.989769048,-374.6043387808041
2023-07-04 14:53:21,-2927926.2843000004,-374.1923735423685
2023-07-04 14:53:41,-2932452.3705452383,-374.3540130871396
2023-07-04 14:54:02,-2930648.077904762,-374.11003616566205
2023-07-04 14:54:23,-2935283.9122738093,-374.2426827804312
2023-07-04 14:54:44,-2926302.993788095,-374.31502660609993
2023-07-04 14:55:04,-2928040.3361083334,-374.1611867072223
2023-07-04 14:55:25,-2919531.8146916665,-374.02548594013217
2023-07-04 14:55:46,-2921856.900771429,-373.6408531761372
2023-07-04 14:56:07,-2926884.0222714287,-373.9847325813729
2023-07-04 14:56:27,-2930241.6831797617,-373.8358624903525
2023-07-04 14:56:47,-2927661.6173,-373.8096720190882
2023-07-04 14:57:07,-2924573.4479833334,-373.9787039942939
2023-07-04 14:57:27,-2923693.62565,-373.9374309488487
2023-07-04 14:57:48,-2922465.2923714286,-373.5993057558589
2023-07-04 14:58:09,-2927312.1309666666,-373.7998271382637
2023-07-04 14:58:29,-2932602.420254762,-374.2163489271216
2023-07-04 14:58:50,-2931259.5006111106,-374.10356627981946
2023-07-04 14:59:10,-2920420.2140404764,-373.87360717743496
2023-07-04 14:59:31,-2923209.1651214287,-373.9577078136108
2023-07-04 14:59:52,-2928600.010602381,-373.9862562378797
2023-07-04 15:00:13,-2930189.302895238,-374.23521118617646
2023-07-04 15:00:34,-2931055.487797619,-374.2353051265412
2023-07-04 15:00:54,-2928791.4217,-373.76631096182416
2023-07-04 15:01:15,-2927694.851966667,-374.0990844017783
2023-07-04 15:01:36,-2933349.794516667,-374.4262333612525
2023-07-04 15:01:56,-2933522.7767166663,-374.2301644567456
2023-07-04 15:02:17,-2932191.4500857145,-374.3863528956533
2023-07-04 15:02:37,-2929033.812002381,-374.2243566537468
2023-07-04 15:02:58,-2919744.40015,-373.977593770237
2023-07-04 15:03:18,-2925439.61705,-373.7956374702132
2023-07-04 15:03:39,-2923700.0827309527,-373.9186152453611
2023-07-04 15:04:00,-2928350.372969048,-373.9506256777692
2023-07-04 15:04:20,-2929090.8925738093,-374.0277570032995
2023-07-04 15:04:41,-2936565.789458333,-374.5049157594608
2023-07-04 15:05:02,-2923006.762092857,-374.0093483349499
2023-07-04 15:05:22,-2934543.0227761907,-374.5028293172691
2023-07-04 15:05:43,-2931140.296419048,-374.20864254300864
2023-07-04 15:06:04,-2929749.0634833337,-373.9177397781504
2023-07-04 15:06:24,-2926259.106114286,-373.5598485355648
2023-07-04 15:06:45,-2928607.887604762,-374.0684099431084
2023-07-04 15:07:06,-2925712.894904762,-373.6254971955386
2023-07-04 15:07:27,-2923272.952416667,-373.52783130816965
2023-07-04 15:07:48,-2925678.281423809,-373.6403481510115
2023-07-04 15:08:08,-2927058.644286111,-373.7802386429725
2023-07-04 15:08:28,-2937731.00455,-374.5242376039719
2023-07-04 15:08:49,-2914705.803335714,-373.60304894334246
2023-07-04 15:09:10,-2918929.4378333334,-373.7523181877106
2023-07-04 15:09:30,-2928957.9603833333,-374.3624495838978
2023-07-04 15:09:51,-2931977.3484809524,-374.15491115128816
2023-07-04 15:10:11,-2925116.2095238096,-373.9630694829029
2023-07-04 15:10:32,-2931289.258283334,-373.71123685061787
2023-07-04 15:10:52,-2930317.026142857,-374.09947513241184
2023-07-04 15:11:13,-2920318.6974261906,-373.6766466864746
2023-07-04 15:11:34,-2924695.0014333334,-373.982810656641
2023-07-04 15:11:56,-2932261.8273190474,-374.2085838908904
2023-07-04 15:12:17,-2930905.6944547617,-373.9149140443642
