                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.70828,                0.43743,                0.95489,                0.99892,                0.94915,                0.95283,                0.66627,                 1.1222,                0.50121,                 1.1702,               0.001486,               0.001486,               0.001486
                     88,                0.69894,                0.43176,                0.96018,                0.99899,                0.94915,                 0.9542,                0.67925,                 1.1114,                0.49749,                 1.1601,               0.001387,               0.001387,               0.001387
                     89,                0.71007,                 0.4345,                0.95951,                0.99905,                0.94915,                0.95644,                0.66191,                 1.1751,                0.53785,                 1.1923,               0.001288,               0.001288,               0.001288
                     90,                0.61403,                0.34077,                 0.9282,                0.99883,                0.94915,                0.96173,                0.69316,                 1.0935,                0.50004,                 1.1716,               0.001189,               0.001189,               0.001189
                     91,                 0.5921,                0.33133,                0.92136,                0.99876,                0.94915,                0.96179,                0.66512,                   1.16,                0.49298,                  1.186,                0.00109,                0.00109,                0.00109
                     92,                0.57895,                0.32437,                 0.9024,                0.99853,                0.94915,                0.95858,                0.66564,                 1.1944,                0.51989,                 1.2031,               0.000991,               0.000991,               0.000991
                     93,                0.55194,                0.32113,                0.89217,                0.99928,                0.94915,                0.96176,                0.66857,                   1.19,                0.53193,                 1.1999,               0.000892,               0.000892,               0.000892
                     94,                0.56515,                 0.3161,                 0.9024,                0.99929,                0.94915,                0.96615,                  0.663,                 1.1695,                0.51576,                  1.199,               0.000793,               0.000793,               0.000793
                     95,                0.56182,                0.32473,                  0.898,                0.99925,                0.94915,                0.95326,                0.67346,                   1.16,                0.52888,                 1.2028,               0.000694,               0.000694,               0.000694
                     96,                0.53912,                0.30844,                0.88664,                0.99954,                0.94915,                0.95185,                0.67652,                  1.123,                0.49576,                 1.2002,               0.000595,               0.000595,               0.000595
                     97,                0.53833,                0.31717,                0.88395,                0.99928,                0.94915,                0.95326,                0.66115,                 1.1698,                0.51184,                 1.2143,               0.000496,               0.000496,               0.000496
                     98,                0.52368,                0.30816,                0.89266,                0.99938,                0.94915,                0.95444,                  0.662,                 1.1629,                0.51739,                 1.2007,               0.000397,               0.000397,               0.000397
                     99,                0.51936,                0.29934,                0.88582,                0.99937,                0.94915,                0.95501,                0.66651,                  1.159,                0.51477,                 1.1975,               0.000298,               0.000298,               0.000298
